Frame,Driver,Speed,Sector,Lap
1211,VERSTAPPEN,252,Sector 1,35 / 53
1221,VERSTAPPEN,259,Sector 1,35 / 53
1231,VERSTAPPEN,263,Sector 1,35 / 53
1241,VERSTAPPEN,268,Sector 1,35 / 53
1251,VERSTAPPEN,271,Sector 1,35 / 53
1261,VERSTAPPEN,274,Sector 1,35 / 53
1271,VERSTAPPEN,276,Sector 1,35 / 53
1281,VERSTAPPEN,278,Sector 1,35 / 53
1291,VERSTAPPEN,280,Sector 1,35 / 53
1301,VERSTAPPEN,282,Sector 1,35 / 53
1311,VERSTAPPEN,283,Sector 1,35 / 53
1321,VERSTAPPEN,284,Sector 1,35 / 53
1331,VERSTAPPEN,283,Sector 1,35 / 53
1341,VERSTAPPEN,270,Sector 1,35 / 53
1351,VERSTAPPEN,237,Sector 1,35 / 53
1361,VERSTAPPEN,214,Sector 1,35 / 53
1371,VERSTAPPEN,198,Sector 1,35 / 53
1381,VERSTAPPEN,182,Sector 1,35 / 53
1391,VERSTAPPEN,168,Sector 1,35 / 53
1401,VERSTAPPEN,158,Sector 1,35 / 53
1411,VERSTAPPEN,152,Sector 1,35 / 53
1421,VERSTAPPEN,149,Sector 1,35 / 53
1431,VERSTAPPEN,147,Sector 1,35 / 53
1441,VERSTAPPEN,142,Sector 1,35 / 53
1451,VERSTAPPEN,134,Sector 1,35 / 53
1461,VERSTAPPEN,126,Sector 1,35 / 53
1471,VERSTAPPEN,121,Sector 1,35 / 53
1481,VERSTAPPEN,119,Sector 1,35 / 53
1491,VERSTAPPEN,115,Sector 1,35 / 53
1501,VERSTAPPEN,116,Sector 1,35 / 53
1511,VERSTAPPEN,122,Sector 1,35 / 53
1521,VERSTAPPEN,127,Sector 1,35 / 53
1531,VERSTAPPEN,134,Sector 1,35 / 53
1541,VERSTAPPEN,128,Sector 1,35 / 53
1551,VERSTAPPEN,113,Sector 1,35 / 53
1561,VERSTAPPEN,103,Sector 1,35 / 53
1571,VERSTAPPEN,97,Sector 1,35 / 53
1581,VERSTAPPEN,92,Sector 1,35 / 53
1591,VERSTAPPEN,87,Sector 1,35 / 53
1601,VERSTAPPEN,86,Sector 1,35 / 53
1611,VERSTAPPEN,83,Sector 1,35 / 53
1621,VERSTAPPEN,86,Sector 1,35 / 53
1631,VERSTAPPEN,91,Sector 1,35 / 53
1641,VERSTAPPEN,96,Sector 1,35 / 53
1651,VERSTAPPEN,104,Sector 1,35 / 53
1661,VERSTAPPEN,112,Sector 1,35 / 53
1671,VERSTAPPEN,124,Sector 1,35 / 53
1681,VERSTAPPEN,137,Sector 1,35 / 53
1691,VERSTAPPEN,147,Sector 2,35 / 53
1701,VERSTAPPEN,150,Sector 2,35 / 53
1711,VERSTAPPEN,152,Sector 2,35 / 53
1721,VERSTAPPEN,153,Sector 2,35 / 53
1731,VERSTAPPEN,158,Sector 2,35 / 53
1741,VERSTAPPEN,164,Sector 2,35 / 53
1751,VERSTAPPEN,169,Sector 2,35 / 53
1761,VERSTAPPEN,176,Sector 2,35 / 53
1771,VERSTAPPEN,179,Sector 2,35 / 53
1781,VERSTAPPEN,191,Sector 2,35 / 53
1791,VERSTAPPEN,200,Sector 2,35 / 53
1801,VERSTAPPEN,207,Sector 2,35 / 53
1811,VERSTAPPEN,219,Sector 2,35 / 53
1821,VERSTAPPEN,225,Sector 2,35 / 53
1831,VERSTAPPEN,232,Sector 2,35 / 53
1841,VERSTAPPEN,240,Sector 2,35 / 53
1851,VERSTAPPEN,243,Sector 2,35 / 53
1861,VERSTAPPEN,248,Sector 2,35 / 53
1871,VERSTAPPEN,252,Sector 2,35 / 53
1881,VERSTAPPEN,256,Sector 2,35 / 53
1891,VERSTAPPEN,258,Sector 2,35 / 53
1901,VERSTAPPEN,262,Sector 2,35 / 53
1911,VERSTAPPEN,266,Sector 2,35 / 53
1921,VERSTAPPEN,271,Sector 2,35 / 53
1931,VERSTAPPEN,273,Sector 2,35 / 53
1941,VERSTAPPEN,277,Sector 2,35 / 53
1951,VERSTAPPEN,280,Sector 2,35 / 53
1961,VERSTAPPEN,283,Sector 2,35 / 53
1971,VERSTAPPEN,284,Sector 2,35 / 53
1981,VERSTAPPEN,286,Sector 2,35 / 53
1991,VERSTAPPEN,290,Sector 2,35 / 53
2001,VERSTAPPEN,292,Sector 2,35 / 53
2011,VERSTAPPEN,294,Sector 2,35 / 53
2021,VERSTAPPEN,297,Sector 2,35 / 53
2031,VERSTAPPEN,299,Sector 2,35 / 53
2041,VERSTAPPEN,300,Sector 2,35 / 53
2051,VERSTAPPEN,303,Sector 2,35 / 53
2061,VERSTAPPEN,304,Sector 2,35 / 53
2071,VERSTAPPEN,305,Sector 2,35 / 53
2081,VERSTAPPEN,307,Sector 2,35 / 53
2091,VERSTAPPEN,308,Sector 2,35 / 53
2101,VERSTAPPEN,309,Sector 2,35 / 53
2111,VERSTAPPEN,309,Sector 2,35 / 53
2121,VERSTAPPEN,310,Sector 2,35 / 53
2131,VERSTAPPEN,311,Sector 2,35 / 53
2141,VERSTAPPEN,312,Sector 2,35 / 53
2151,VERSTAPPEN,312,Sector 2,35 / 53
2161,VERSTAPPEN,313,Sector 2,35 / 53
2171,VERSTAPPEN,314,Sector 2,35 / 53
2181,VERSTAPPEN,314,Sector 2,35 / 53
2191,VERSTAPPEN,314,Sector 2,35 / 53
2201,VERSTAPPEN,314,Sector 2,35 / 53
2211,VERSTAPPEN,312,Sector 2,35 / 53
2221,VERSTAPPEN,310,Sector 2,35 / 53
2231,VERSTAPPEN,309,Sector 2,35 / 53
2241,VERSTAPPEN,307,Sector 2,35 / 53
2251,VERSTAPPEN,307,Sector 2,35 / 53
2261,VERSTAPPEN,302,Sector 2,35 / 53
2271,VERSTAPPEN,274,Sector 2,35 / 53
2281,VERSTAPPEN,243,Sector 2,35 / 53
2291,VERSTAPPEN,204,Sector 2,35 / 53
2301,VERSTAPPEN,188,Sector 2,35 / 53
2311,VERSTAPPEN,156,Sector 2,35 / 53
2321,VERSTAPPEN,144,Sector 2,35 / 53
2331,VERSTAPPEN,138,Sector 2,35 / 53
2341,VERSTAPPEN,134,Sector 2,35 / 53
2351,VERSTAPPEN,134,Sector 2,35 / 53
2361,VERSTAPPEN,135,Sector 2,35 / 53
2371,VERSTAPPEN,134,Sector 2,35 / 53
2381,VERSTAPPEN,122,Sector 2,35 / 53
2391,VERSTAPPEN,113,Sector 2,35 / 53
2401,VERSTAPPEN,109,Sector 2,35 / 53
2411,VERSTAPPEN,103,Sector 2,35 / 53
2421,VERSTAPPEN,103,Sector 2,35 / 53
2431,VERSTAPPEN,108,Sector 2,35 / 53
2441,VERSTAPPEN,116,Sector 2,35 / 53
2451,VERSTAPPEN,128,Sector 2,35 / 53
2461,VERSTAPPEN,139,Sector 2,35 / 53
2471,VERSTAPPEN,146,Sector 2,35 / 53
2481,VERSTAPPEN,167,Sector 2,35 / 53
2491,VERSTAPPEN,181,Sector 2,35 / 53
2501,VERSTAPPEN,188,Sector 2,35 / 53
2511,VERSTAPPEN,202,Sector 2,35 / 53
2521,VERSTAPPEN,211,Sector 2,35 / 53
2531,VERSTAPPEN,219,Sector 2,35 / 53
2541,VERSTAPPEN,230,Sector 2,35 / 53
2551,VERSTAPPEN,234,Sector 2,35 / 53
2561,VERSTAPPEN,245,Sector 2,35 / 53
2571,VERSTAPPEN,252,Sector 2,35 / 53
2581,VERSTAPPEN,256,Sector 2,35 / 53
2591,VERSTAPPEN,261,Sector 2,35 / 53
2601,VERSTAPPEN,267,Sector 2,35 / 53
2611,VERSTAPPEN,270,Sector 2,35 / 53
2621,VERSTAPPEN,275,Sector 2,35 / 53
2631,VERSTAPPEN,280,Sector 2,35 / 53
2641,VERSTAPPEN,281,Sector 2,35 / 53
2651,VERSTAPPEN,285,Sector 2,35 / 53
2661,VERSTAPPEN,287,Sector 2,35 / 53
