Frame,Driver,Speed,Sector,Lap
1,VETTEL,262,Sector 3,Ql
4,VETTEL,264,Sector 3,Ql
7,VETTEL,265,Sector 3,Ql
10,VETTEL,267,Sector 3,Ql
13,VETTEL,269,Sector 3,Ql
16,VETTEL,272,Sector 3,Ql
19,VETTEL,274,Sector 3,Ql
22,VETTEL,275,Sector 3,Ql
25,VETTEL,278,Sector 3,Ql
28,VETTEL,279,Sector 3,Ql
31,VETTEL,280,Sector 3,Ql
34,VETTEL,282,Sector 3,Ql
37,VETTEL,284,Sector 3,Ql
40,VETTEL,285,Sector 3,Ql
43,VETTEL,286,Sector 3,Ql
46,VETTEL,288,Sector 3,Ql
49,VETTEL,289,Sector 3,Ql
52,VETTEL,289,Sector 3,Ql
55,VETTEL,291,Sector 1,Ql
58,VETTEL,291,Sector 1,Ql
61,VETTEL,292,Sector 1,Ql
64,VETTEL,292,Sector 1,Ql
67,VETTEL,293,Sector 1,Ql
70,VETTEL,295,Sector 1,Ql
73,VETTEL,296,Sector 1,Ql
76,VETTEL,296,Sector 1,Ql
79,VETTEL,296,Sector 1,Ql
82,VETTEL,296,Sector 1,Ql
85,VETTEL,297,Sector 1,Ql
88,VETTEL,299,Sector 1,Ql
91,VETTEL,300,Sector 1,Ql
94,VETTEL,302,Sector 1,Ql
97,VETTEL,303,Sector 1,Ql
100,VETTEL,304,Sector 1,Ql
103,VETTEL,305,Sector 1,Ql
106,VETTEL,305,Sector 1,Ql
109,VETTEL,306,Sector 1,Ql
112,VETTEL,306,Sector 1,Ql
115,VETTEL,307,Sector 1,Ql
118,VETTEL,307,Sector 1,Ql
121,VETTEL,308,Sector 1,Ql
124,VETTEL,309,Sector 1,Ql
127,VETTEL,310,Sector 1,Ql
130,VETTEL,311,Sector 1,Ql
133,VETTEL,312,Sector 1,Ql
136,VETTEL,312,Sector 1,Ql
139,VETTEL,312,Sector 1,Ql
142,VETTEL,312,Sector 1,Ql
145,VETTEL,312,Sector 1,Ql
148,VETTEL,312,Sector 1,Ql
151,VETTEL,313,Sector 1,Ql
154,VETTEL,313,Sector 1,Ql
157,VETTEL,314,Sector 1,Ql
160,VETTEL,314,Sector 1,Ql
163,VETTEL,315,Sector 1,Ql
166,VETTEL,315,Sector 1,Ql
169,VETTEL,315,Sector 1,Ql
172,VETTEL,314,Sector 1,Ql
175,VETTEL,314,Sector 1,Ql
178,VETTEL,314,Sector 1,Ql
181,VETTEL,310,Sector 1,Ql
184,VETTEL,306,Sector 1,Ql
187,VETTEL,299,Sector 1,Ql
190,VETTEL,278,Sector 1,Ql
193,VETTEL,249,Sector 1,Ql
196,VETTEL,229,Sector 1,Ql
199,VETTEL,219,Sector 1,Ql
202,VETTEL,213,Sector 1,Ql
205,VETTEL,206,Sector 1,Ql
208,VETTEL,199,Sector 1,Ql
211,VETTEL,192,Sector 1,Ql
214,VETTEL,183,Sector 1,Ql
217,VETTEL,179,Sector 1,Ql
220,VETTEL,172,Sector 1,Ql
223,VETTEL,169,Sector 1,Ql
226,VETTEL,167,Sector 1,Ql
229,VETTEL,162,Sector 1,Ql
232,VETTEL,159,Sector 1,Ql
235,VETTEL,156,Sector 1,Ql
238,VETTEL,153,Sector 1,Ql
241,VETTEL,152,Sector 1,Ql
244,VETTEL,150,Sector 1,Ql
247,VETTEL,149,Sector 1,Ql
250,VETTEL,148,Sector 1,Ql
253,VETTEL,147,Sector 1,Ql
256,VETTEL,146,Sector 1,Ql
259,VETTEL,144,Sector 1,Ql
262,VETTEL,144,Sector 1,Ql
265,VETTEL,144,Sector 1,Ql
268,VETTEL,146,Sector 1,Ql
271,VETTEL,149,Sector 1,Ql
274,VETTEL,155,Sector 1,Ql
277,VETTEL,158,Sector 1,Ql
280,VETTEL,163,Sector 1,Ql
283,VETTEL,164,Sector 1,Ql
286,VETTEL,168,Sector 1,Ql
289,VETTEL,173,Sector 1,Ql
292,VETTEL,176,Sector 1,Ql
295,VETTEL,179,Sector 1,Ql
298,VETTEL,183,Sector 1,Ql
301,VETTEL,185,Sector 1,Ql
304,VETTEL,188,Sector 1,Ql
307,VETTEL,191,Sector 1,Ql
310,VETTEL,196,Sector 1,Ql
313,VETTEL,200,Sector 1,Ql
316,VETTEL,202,Sector 1,Ql
319,VETTEL,204,Sector 1,Ql
322,VETTEL,208,Sector 1,Ql
325,VETTEL,213,Sector 1,Ql
328,VETTEL,217,Sector 1,Ql
331,VETTEL,220,Sector 1,Ql
334,VETTEL,222,Sector 1,Ql
337,VETTEL,226,Sector 1,Ql
340,VETTEL,227,Sector 1,Ql
343,VETTEL,229,Sector 1,Ql
346,VETTEL,232,Sector 1,Ql
349,VETTEL,234,Sector 1,Ql
352,VETTEL,236,Sector 1,Ql
355,VETTEL,239,Sector 1,Ql
358,VETTEL,240,Sector 1,Ql
361,VETTEL,242,Sector 1,Ql
364,VETTEL,246,Sector 1,Ql
367,VETTEL,249,Sector 1,Ql
370,VETTEL,250,Sector 1,Ql
373,VETTEL,254,Sector 1,Ql
376,VETTEL,256,Sector 1,Ql
379,VETTEL,257,Sector 1,Ql
382,VETTEL,258,Sector 1,Ql
385,VETTEL,261,Sector 1,Ql
388,VETTEL,263,Sector 1,Ql
391,VETTEL,264,Sector 1,Ql
394,VETTEL,268,Sector 1,Ql
397,VETTEL,271,Sector 1,Ql
400,VETTEL,273,Sector 1,Ql
403,VETTEL,275,Sector 1,Ql
406,VETTEL,276,Sector 1,Ql
409,VETTEL,278,Sector 1,Ql
412,VETTEL,278,Sector 1,Ql
415,VETTEL,280,Sector 1,Ql
418,VETTEL,281,Sector 1,Ql
421,VETTEL,283,Sector 1,Ql
424,VETTEL,284,Sector 1,Ql
427,VETTEL,285,Sector 1,Ql
430,VETTEL,287,Sector 1,Ql
433,VETTEL,287,Sector 1,Ql
436,VETTEL,288,Sector 1,Ql
439,VETTEL,289,Sector 1,Ql
442,VETTEL,290,Sector 1,Ql
445,VETTEL,291,Sector 1,Ql
448,VETTEL,291,Sector 1,Ql
451,VETTEL,292,Sector 1,Ql
454,VETTEL,293,Sector 1,Ql
457,VETTEL,295,Sector 1,Ql
460,VETTEL,296,Sector 1,Ql
463,VETTEL,298,Sector 1,Ql
466,VETTEL,299,Sector 1,Ql
469,VETTEL,299,Sector 1,Ql
472,VETTEL,300,Sector 1,Ql
475,VETTEL,301,Sector 1,Ql
478,VETTEL,302,Sector 1,Ql
481,VETTEL,304,Sector 1,Ql
484,VETTEL,304,Sector 1,Ql
487,VETTEL,305,Sector 1,Ql
490,VETTEL,305,Sector 1,Ql
493,VETTEL,306,Sector 1,Ql
496,VETTEL,307,Sector 1,Ql
499,VETTEL,308,Sector 1,Ql
502,VETTEL,309,Sector 1,Ql
505,VETTEL,309,Sector 1,Ql
508,VETTEL,310,Sector 1,Ql
511,VETTEL,311,Sector 1,Ql
514,VETTEL,312,Sector 1,Ql
517,VETTEL,312,Sector 1,Ql
520,VETTEL,313,Sector 1,Ql
523,VETTEL,314,Sector 1,Ql
526,VETTEL,314,Sector 1,Ql
529,VETTEL,314,Sector 1,Ql
532,VETTEL,315,Sector 1,Ql
535,VETTEL,315,Sector 1,Ql
538,VETTEL,315,Sector 1,Ql
541,VETTEL,316,Sector 1,Ql
544,VETTEL,316,Sector 1,Ql
547,VETTEL,317,Sector 1,Ql
550,VETTEL,317,Sector 1,Ql
