Frame,Driver,Speed,Sector,Lap
1,VERSTAPPEN,233,Sector 3,34 / 53
4,VERSTAPPEN,233,Sector 3,34 / 53
7,VERSTAPPEN,226,Sector 3,34 / 53
10,VERSTAPPEN,222,Sector 3,34 / 53
13,VERSTAPPEN,214,Sector 3,34 / 53
16,VERSTAPPEN,202,Sector 3,34 / 53
19,VERSTAPPEN,196,Sector 3,34 / 53
22,VERSTAPPEN,190,Sector 3,34 / 53
25,VERSTAPPEN,185,Sector 3,34 / 53
28,VERSTAPPEN,181,Sector 3,34 / 53
31,VERSTAPPEN,174,Sector 3,34 / 53
34,VERSTAPPEN,170,Sector 3,34 / 53
37,VERSTAPPEN,165,Sector 3,34 / 53
40,VERSTAPPEN,164,Sector 3,34 / 53
43,VERSTAPPEN,162,Sector 3,34/53
46,VERSTAPPEN,157,Sector 3,34/53
49,VERSTAPPEN,153,Sector 3,34/53
52,VERSTAPPEN,146,Sector 3,34/53
55,VERSTAPPEN,144,Sector 3,34/53
58,VERSTAPPEN,142,Sector 3,34/53
61,VERSTAPPEN,139,Sector 3,34 / 53
64,VERSTAPPEN,137,Sector 3,34 / 53
67,VERSTAPPEN,133,Sector 3,34 / 53
70,VERSTAPPEN,131,Sector 3,34 / 53
73,VERSTAPPEN,130,Sector 3,34 / 53
76,VERSTAPPEN,129,Sector 3,34 / 53
79,VERSTAPPEN,128,Sector 3,34 / 53
82,VERSTAPPEN,127,Sector 3,34 / 53
85,VERSTAPPEN,125,Sector 3,34 / 53
88,VERSTAPPEN,123,Sector 3,34 / 53
91,VERSTAPPEN,123,Sector 3,34 / 53
94,VERSTAPPEN,122,Sector 3,34 / 53
97,VERSTAPPEN,121,Sector 3,34 / 53
100,VERSTAPPEN,121,Sector 3,34 / 53
103,VERSTAPPEN,121,Sector 3,34 / 53
106,VERSTAPPEN,120,Sector 3,34 / 53
109,VERSTAPPEN,119,Sector 3,34 / 53
112,VERSTAPPEN,119,Sector 3,34 / 53
115,VERSTAPPEN,119,Sector 3,34 / 53
118,VERSTAPPEN,119,Sector 3,34 / 53
121,VERSTAPPEN,119,Sector 3,34/53
124,VERSTAPPEN,119,Sector 3,34 / 53
127,VERSTAPPEN,119,Sector 3,34 / 53
130,VERSTAPPEN,119,Sector 3,34 / 53
133,VERSTAPPEN,119,Sector 3,34 / 53
136,VERSTAPPEN,121,Sector 3,34 / 53
139,VERSTAPPEN,123,Sector 3,34 / 53
142,VERSTAPPEN,124,Sector 3,34 / 53
145,VERSTAPPEN,125,Sector 3,34 / 53
148,VERSTAPPEN,126,Sector 3,34 / 53
151,VERSTAPPEN,126,Sector 3,34 / 53
154,VERSTAPPEN,130,Sector 3,34 / 53
157,VERSTAPPEN,133,Sector 3,34 / 53
160,VERSTAPPEN,136,Sector 3,34 / 53
163,VERSTAPPEN,142,Sector 3,34 / 53
166,VERSTAPPEN,144,Sector 3,34 / 53
169,VERSTAPPEN,150,Sector 3,34 / 53
172,VERSTAPPEN,151,Sector 3,34 / 53
175,VERSTAPPEN,155,Sector 3,34 / 53
178,VERSTAPPEN,157,Sector 3,34 / 53
181,VERSTAPPEN,159,Sector 3,34 / 53
184,VERSTAPPEN,161,Sector 3,34 / 53
187,VERSTAPPEN,170,Sector 3,34 / 53
190,VERSTAPPEN,175,Sector 3,34 / 53
193,VERSTAPPEN,179,Sector 3,34 / 53
196,VERSTAPPEN,184,Sector 3,34 / 53
199,VERSTAPPEN,185,Sector 3,34 / 53
202,VERSTAPPEN,188,Sector 3,34 / 53
205,VERSTAPPEN,194,Sector 3,34 / 53
208,VERSTAPPEN,195,Sector 3,34 / 53
211,VERSTAPPEN,199,Sector 3,34 / 53
214,VERSTAPPEN,201,Sector 3,34 / 53
217,VERSTAPPEN,203,Sector 3,34 / 53
220,VERSTAPPEN,208,Sector 3,34 / 53
223,VERSTAPPEN,212,Sector 3,34 / 53
226,VERSTAPPEN,214,Sector 3,34 / 53
229,VERSTAPPEN,217,Sector 3,34 / 53
232,VERSTAPPEN,219,Sector 3,34 / 53
235,VERSTAPPEN,221,Sector 3,34 / 53
238,VERSTAPPEN,223,Sector 3,34 / 53
241,VERSTAPPEN,225,Sector 3,34 / 53
244,VERSTAPPEN,226,Sector 3,34 / 53
247,VERSTAPPEN,229,Sector 3,34 / 53
250,VERSTAPPEN,230,Sector 3,34 / 53
253,VERSTAPPEN,231,Sector 3,34 / 53
256,VERSTAPPEN,232,Sector 3,34 / 53
259,VERSTAPPEN,234,Sector 3,34 / 53
262,VERSTAPPEN,236,Sector 3,34 / 53
265,VERSTAPPEN,237,Sector 3,34 / 53
268,VERSTAPPEN,239,Sector 3,34 / 53
271,VERSTAPPEN,239,Sector 3,34 / 53
274,VERSTAPPEN,241,Sector 3,34 / 53
277,VERSTAPPEN,241,Sector 3,34 / 53
280,VERSTAPPEN,242,Sector 3,34 / 53
283,VERSTAPPEN,243,Sector 3,34 / 53
286,VERSTAPPEN,246,Sector 3,34 / 53
289,VERSTAPPEN,248,Sector 3,34 / 53
292,VERSTAPPEN,249,Sector 3,34 / 53
295,VERSTAPPEN,250,Sector 3,34 / 53
298,VERSTAPPEN,251,Sector 3,34 / 53
301,VERSTAPPEN,252,Sector 3,34 / 53
304,VERSTAPPEN,253,Sector 3,34 / 53
307,VERSTAPPEN,255,Sector 3,34 / 53
310,VERSTAPPEN,255,Sector 3,34 / 53
313,VERSTAPPEN,257,Sector 3,35 / 53
316,VERSTAPPEN,257,Sector 3,35 / 53
319,VERSTAPPEN,257,Sector 3,35 / 53
322,VERSTAPPEN,258,Sector 3,35 / 53
325,VERSTAPPEN,259,Sector 3,35 / 53
328,VERSTAPPEN,260,Sector 3,35 / 53
331,VERSTAPPEN,261,Sector 3,35 / 53
334,VERSTAPPEN,262,Sector 3,35 / 53
337,VERSTAPPEN,262,Sector 3,35 / 53
340,VERSTAPPEN,257,Sector 3,35 / 53
343,VERSTAPPEN,250,Sector 3,35 / 53
346,VERSTAPPEN,246,Sector 3,35 / 53
349,VERSTAPPEN,239,Sector 3,35 / 53
