,Frame,Driver,Speed,Sector,Lap,Time,T_Delta
0,190,RUSSELL,299,Sector 1,Q1,1:04.907,0.029227382
0,191,RUSSELL,299,Sector 1,Q1,1:04.907,0.029227382
0,192,RUSSELL,299,Sector 1,Q1,1:04.907,0.029227382
0,193,RUSSELL,299,Sector 1,Q1,1:04.907,0.029227382
0,194,RUSSELL,300,Sector 1,Q1,1:04.907,0.029227382
0,195,RUSSELL,300,Sector 1,Q1,1:04.907,0.029227382
0,196,RUSSELL,300,Sector 1,Q1,1:04.907,0.029227382
0,197,RUSSELL,300,Sector 1,Q1,1:04.907,0.029227382
0,198,RUSSELL,301,Sector 1,Q1,1:04.907,0.029227382
0,199,RUSSELL,302,Sector 1,Q1,1:04.907,0.029227382
0,200,RUSSELL,302,Sector 1,Q1,1:04.907,0.029227382
0,201,RUSSELL,302,Sector 1,Q1,1:04.907,0.029227382
0,202,RUSSELL,303,Sector 1,Q1,1:04.907,0.029227382
0,203,RUSSELL,303,Sector 1,Q1,1:04.907,0.029227382
0,204,RUSSELL,303,Sector 1,Q1,1:04.907,0.029227382
0,205,RUSSELL,304,Sector 1,Q1,1:04.907,0.029227382
0,206,RUSSELL,304,Sector 1,Q1,1:04.907,0.029227382
0,207,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,208,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,209,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,210,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,211,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,212,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,213,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,214,RUSSELL,305,Sector 1,Q1,1:04.907,0.029227382
0,215,RUSSELL,306,Sector 1,Q1,1:04.907,0.029227382
0,216,RUSSELL,306,Sector 1,Q1,1:04.907,0.029227382
0,217,RUSSELL,307,Sector 1,Q1,1:04.907,0.029227382
0,218,RUSSELL,307,Sector 1,Q1,1:04.907,0.029227382
0,219,RUSSELL,307,Sector 1,Q1,1:04.907,0.029227382
0,220,RUSSELL,307,Sector 1,Q1,1:04.907,0.029227382
0,221,RUSSELL,309,Sector 1,Q1,1:04.907,0.029227382
0,222,RUSSELL,309,Sector 1,Q1,1:04.907,0.029227382
0,223,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,224,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,225,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,226,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,227,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,228,RUSSELL,310,Sector 1,Q1,1:04.907,0.029227382
0,229,RUSSELL,311,Sector 1,Q1,1:04.907,0.029227382
0,230,RUSSELL,311,Sector 1,Q1,1:04.907,0.029227382
0,231,RUSSELL,312,Sector 1,Q1,1:04.907,0.029227382
0,232,RUSSELL,312,Sector 1,Q1,1:04.907,0.029227382
0,233,RUSSELL,312,Sector 1,Q1,1:04.907,0.029227382
0,234,RUSSELL,313,Sector 1,Q1,1:04.907,0.029227382
0,235,RUSSELL,313,Sector 1,Q1,1:04.907,0.029227382
0,236,RUSSELL,314,Sector 1,Q1,1:04.907,0.029227382
0,237,RUSSELL,314,Sector 1,Q1,1:04.907,0.029227382
0,238,RUSSELL,314,Sector 1,Q1,1:04.907,0.029227382
0,239,RUSSELL,314,Sector 1,Q1,1:04.907,0.029227382
0,240,RUSSELL,314,Sector 1,Q1,1:04.907,0.029227382
0,241,RUSSELL,315,Sector 1,Q1,1:04.907,0.029227382
0,242,RUSSELL,315,Sector 1,Q1,1:04.907,0.029227382
0,243,RUSSELL,315,Sector 1,Q1,1:04.907,0.029227382
0,244,RUSSELL,316,Sector 1,Q1,1:04.907,0.029227382
0,245,RUSSELL,316,Sector 1,Q1,1:04.907,0.029227382
0,246,RUSSELL,316,Sector 1,Q1,1:04.907,0.029227382
0,247,RUSSELL,316,Sector 1,Q1,1:04.907,0.029227382
0,248,RUSSELL,316,Sector 1,Q1,1:04.907,0.029227382
0,249,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,250,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,251,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,252,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,253,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,254,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,255,RUSSELL,317,Sector 1,Q1,1:04.907,0.029227382
0,256,RUSSELL,318,Sector 1,Q1,1:04.907,0.029227382
0,257,RUSSELL,318,Sector 1,Q1,1:04.907,0.029227382
0,258,RUSSELL,318,Sector 1,Q1,1:04.907,0.029227382
0,259,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,260,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,261,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,262,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,263,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,264,RUSSELL,319,Sector 1,Q1,1:04.907,0.029227382
0,265,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,266,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,267,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,268,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,269,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,270,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,271,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
0,272,RUSSELL,320,Sector 1,Q1,1:04.907,0.029227382
