,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,94,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,95,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,96,HAMILTON,112,,L1 (Crash),00:55.0,0.029666012
0,97,HAMILTON,116,,L1 (Crash),00:55.0,0.029666012
0,98,HAMILTON,118,,L1 (Crash),00:55.0,0.029666012
0,99,HAMILTON,118,,L1 (Crash),00:55.0,0.029666012
0,100,HAMILTON,121,,L1 (Crash),00:55.0,0.029666012
0,101,HAMILTON,123,,L1 (Crash),00:55.0,0.029666012
0,102,HAMILTON,125,,L1 (Crash),00:55.0,0.029666012
0,103,HAMILTON,125,,L1 (Crash),00:55.0,0.029666012
0,104,HAMILTON,130,,L1 (Crash),00:55.0,0.029666012
0,105,HAMILTON,132,,L1 (Crash),00:55.0,0.029666012
0,106,HAMILTON,133,,L1 (Crash),00:55.0,0.029666012
0,107,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,108,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,109,HAMILTON,135,,L1 (Crash),00:55.0,0.029666012
0,110,HAMILTON,137,,L1 (Crash),00:55.0,0.029666012
0,111,HAMILTON,139,,L1 (Crash),00:55.0,0.029666012
0,112,HAMILTON,139,,L1 (Crash),00:55.0,0.029666012
0,113,HAMILTON,143,,L1 (Crash),00:55.0,0.029666012
0,114,HAMILTON,143,,L1 (Crash),00:55.0,0.029666012
0,115,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,116,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,117,HAMILTON,147,,L1 (Crash),00:55.0,0.029666012
0,118,HAMILTON,151,,L1 (Crash),00:55.0,0.029666012
0,119,HAMILTON,154,,L1 (Crash),00:55.0,0.029666012
0,120,HAMILTON,154,,L1 (Crash),00:55.0,0.029666012
0,121,HAMILTON,156,,L1 (Crash),00:55.0,0.029666012
0,122,HAMILTON,157,,L1 (Crash),00:55.0,0.029666012
0,123,HAMILTON,157,,L1 (Crash),00:55.0,0.029666012
0,124,HAMILTON,160,,L1 (Crash),00:55.0,0.029666012
0,125,HAMILTON,160,,L1 (Crash),00:55.0,0.029666012
0,126,HAMILTON,160,,L1 (Crash),00:55.0,0.029666012
0,127,HAMILTON,162,,L1 (Crash),00:55.0,0.029666012
0,128,HAMILTON,164,,L1 (Crash),00:55.0,0.029666012
0,129,HAMILTON,164,,L1 (Crash),00:55.0,0.029666012
0,130,HAMILTON,168,,L1 (Crash),00:55.0,0.029666012
0,131,HAMILTON,169,,L1 (Crash),00:55.0,0.029666012
0,132,HAMILTON,171,,L1 (Crash),00:55.0,0.029666012
0,133,HAMILTON,173,,L1 (Crash),00:55.0,0.029666012
0,134,HAMILTON,173,,L1 (Crash),00:55.0,0.029666012
0,135,HAMILTON,173,,L1 (Crash),00:55.0,0.029666012
0,136,HAMILTON,176,,L1 (Crash),00:55.0,0.029666012
0,137,HAMILTON,177,,L1 (Crash),00:55.0,0.029666012
0,138,HAMILTON,177,,L1 (Crash),00:55.0,0.029666012
0,139,HAMILTON,179,,L1 (Crash),00:55.0,0.029666012
0,140,HAMILTON,179,,L1 (Crash),00:55.0,0.029666012
0,141,HAMILTON,180,,L1 (Crash),00:55.0,0.029666012
0,142,HAMILTON,180,,L1 (Crash),00:55.0,0.029666012
0,143,HAMILTON,180,,L1 (Crash),00:55.0,0.029666012
0,144,HAMILTON,182,,L1 (Crash),00:55.0,0.029666012
0,145,HAMILTON,183,,L1 (Crash),00:55.0,0.029666012
0,146,HAMILTON,183,,L1 (Crash),00:55.0,0.029666012
0,147,HAMILTON,185,,L1 (Crash),00:55.0,0.029666012
0,148,HAMILTON,185,,L1 (Crash),00:55.0,0.029666012
0,149,HAMILTON,187,,L1 (Crash),00:55.0,0.029666012
0,150,HAMILTON,188,,L1 (Crash),00:55.0,0.029666012
0,151,HAMILTON,188,,L1 (Crash),00:55.0,0.029666012
0,152,HAMILTON,188,,L1 (Crash),00:55.0,0.029666012
0,153,HAMILTON,190,,L1 (Crash),00:55.0,0.029666012
0,154,HAMILTON,191,,L1 (Crash),00:55.0,0.029666012
0,155,HAMILTON,191,,L1 (Crash),00:55.0,0.029666012
0,156,HAMILTON,193,,L1 (Crash),00:55.0,0.029666012
0,157,HAMILTON,195,,L1 (Crash),00:55.0,0.029666012
0,158,HAMILTON,196,,L1 (Crash),00:55.0,0.029666012
0,159,HAMILTON,197,,L1 (Crash),00:55.0,0.029666012
0,160,HAMILTON,197,,L1 (Crash),00:55.0,0.029666012
0,161,HAMILTON,197,,L1 (Crash),00:55.0,0.029666012
0,162,HAMILTON,199,,L1 (Crash),00:55.0,0.029666012
0,163,HAMILTON,201,,L1 (Crash),00:55.0,0.029666012
0,164,HAMILTON,201,,L1 (Crash),00:55.0,0.029666012
0,165,HAMILTON,203,,L1 (Crash),00:55.0,0.029666012
0,166,HAMILTON,203,,L1 (Crash),00:55.0,0.029666012
0,167,HAMILTON,204,,L1 (Crash),00:55.0,0.029666012
0,168,HAMILTON,205,,L1 (Crash),00:55.0,0.029666012
0,169,HAMILTON,205,,L1 (Crash),00:55.0,0.029666012
0,170,HAMILTON,206,,L1 (Crash),00:55.0,0.029666012
0,171,HAMILTON,206,,L1 (Crash),00:55.0,0.029666012
0,172,HAMILTON,209,,L1 (Crash),00:55.0,0.029666012
0,173,HAMILTON,210,,L1 (Crash),00:55.0,0.029666012
0,174,HAMILTON,210,,L1 (Crash),00:55.0,0.029666012
0,175,HAMILTON,212,,L1 (Crash),00:55.0,0.029666012
0,176,HAMILTON,212,,L1 (Crash),00:55.0,0.029666012
0,177,HAMILTON,214,,L1 (Crash),00:55.0,0.029666012
0,178,HAMILTON,214,,L1 (Crash),00:55.0,0.029666012
0,179,HAMILTON,215,,L1 (Crash),00:55.0,0.029666012
0,180,HAMILTON,215,,L1 (Crash),00:55.0,0.029666012
0,181,HAMILTON,216,,L1 (Crash),00:55.0,0.029666012
0,182,HAMILTON,216,,L1 (Crash),00:55.0,0.029666012
0,183,HAMILTON,217,,L1 (Crash),00:55.0,0.029666012
0,184,HAMILTON,218,,L1 (Crash),00:55.0,0.029666012
0,185,HAMILTON,218,,L1 (Crash),00:55.0,0.029666012
0,186,HAMILTON,219,,L1 (Crash),00:55.0,0.029666012
0,187,HAMILTON,219,,L1 (Crash),00:55.0,0.029666012
0,188,HAMILTON,219,,L1 (Crash),00:55.0,0.029666012
0,189,HAMILTON,221,,L1 (Crash),00:55.0,0.029666012
0,190,HAMILTON,221,,L1 (Crash),00:55.0,0.029666012
0,191,HAMILTON,222,,L1 (Crash),00:55.0,0.029666012
0,192,HAMILTON,223,,L1 (Crash),00:55.0,0.029666012
0,193,HAMILTON,223,,L1 (Crash),00:55.0,0.029666012
0,194,HAMILTON,225,,L1 (Crash),00:55.0,0.029666012
0,195,HAMILTON,225,,L1 (Crash),00:55.0,0.029666012
0,196,HAMILTON,225,,L1 (Crash),00:55.0,0.029666012
0,197,HAMILTON,227,,L1 (Crash),00:55.0,0.029666012
0,198,HAMILTON,228,,L1 (Crash),00:55.0,0.029666012
0,199,HAMILTON,228,,L1 (Crash),00:55.0,0.029666012
