,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,85,VERSTAPPEN,91,,L1 (Crash),00:55.0,0.02969296
0,86,VERSTAPPEN,91,,L1 (Crash),00:55.0,0.02969296
0,87,VERSTAPPEN,96,,L1 (Crash),00:55.0,0.02969296
0,88,VERSTAPPEN,98,,L1 (Crash),00:55.0,0.02969296
0,89,VERSTAPPEN,98,,L1 (Crash),00:55.0,0.02969296
0,90,VERSTAPPEN,103,,L1 (Crash),00:55.0,0.02969296
0,91,VERSTAPPEN,106,,L1 (Crash),00:55.0,0.02969296
0,92,VERSTAPPEN,106,,L1 (Crash),00:55.0,0.02969296
0,93,VERSTAPPEN,110,,L1 (Crash),00:55.0,0.02969296
0,94,VERSTAPPEN,110,,L1 (Crash),00:55.0,0.02969296
0,95,VERSTAPPEN,111,,L1 (Crash),00:55.0,0.02969296
0,96,VERSTAPPEN,111,,L1 (Crash),00:55.0,0.02969296
0,97,VERSTAPPEN,114,,L1 (Crash),00:55.0,0.02969296
0,98,VERSTAPPEN,114,,L1 (Crash),00:55.0,0.02969296
0,99,VERSTAPPEN,117,,L1 (Crash),00:55.0,0.02969296
0,100,VERSTAPPEN,118,,L1 (Crash),00:55.0,0.02969296
0,101,VERSTAPPEN,119,,L1 (Crash),00:55.0,0.02969296
0,102,VERSTAPPEN,119,,L1 (Crash),00:55.0,0.02969296
0,103,VERSTAPPEN,119,,L1 (Crash),00:55.0,0.02969296
0,104,VERSTAPPEN,120,,L1 (Crash),00:55.0,0.02969296
0,105,VERSTAPPEN,121,,L1 (Crash),00:55.0,0.02969296
0,106,VERSTAPPEN,122,,L1 (Crash),00:55.0,0.02969296
0,107,VERSTAPPEN,122,,L1 (Crash),00:55.0,0.02969296
0,108,VERSTAPPEN,123,,L1 (Crash),00:55.0,0.02969296
0,109,VERSTAPPEN,123,,L1 (Crash),00:55.0,0.02969296
0,110,VERSTAPPEN,128,,L1 (Crash),00:55.0,0.02969296
0,111,VERSTAPPEN,128,,L1 (Crash),00:55.0,0.02969296
0,112,VERSTAPPEN,131,,L1 (Crash),00:55.0,0.02969296
0,113,VERSTAPPEN,134,,L1 (Crash),00:55.0,0.02969296
0,114,VERSTAPPEN,134,,L1 (Crash),00:55.0,0.02969296
0,115,VERSTAPPEN,140,,L1 (Crash),00:55.0,0.02969296
0,116,VERSTAPPEN,143,,L1 (Crash),00:55.0,0.02969296
0,117,VERSTAPPEN,143,,L1 (Crash),00:55.0,0.02969296
0,118,VERSTAPPEN,146,,L1 (Crash),00:55.0,0.02969296
0,119,VERSTAPPEN,146,,L1 (Crash),00:55.0,0.02969296
0,120,VERSTAPPEN,146,,L1 (Crash),00:55.0,0.02969296
0,121,VERSTAPPEN,149,,L1 (Crash),00:55.0,0.02969296
0,122,VERSTAPPEN,150,,L1 (Crash),00:55.0,0.02969296
0,123,VERSTAPPEN,150,,L1 (Crash),00:55.0,0.02969296
0,124,VERSTAPPEN,152,,L1 (Crash),00:55.0,0.02969296
0,125,VERSTAPPEN,154,,L1 (Crash),00:55.0,0.02969296
0,126,VERSTAPPEN,154,,L1 (Crash),00:55.0,0.02969296
0,127,VERSTAPPEN,155,,L1 (Crash),00:55.0,0.02969296
0,128,VERSTAPPEN,155,,L1 (Crash),00:55.0,0.02969296
0,129,VERSTAPPEN,155,,L1 (Crash),00:55.0,0.02969296
0,130,VERSTAPPEN,156,,L1 (Crash),00:55.0,0.02969296
0,131,VERSTAPPEN,156,,L1 (Crash),00:55.0,0.02969296
0,132,VERSTAPPEN,158,,L1 (Crash),00:55.0,0.02969296
0,133,VERSTAPPEN,158,,L1 (Crash),00:55.0,0.02969296
0,134,VERSTAPPEN,158,,L1 (Crash),00:55.0,0.02969296
0,135,VERSTAPPEN,161,,L1 (Crash),00:55.0,0.02969296
0,136,VERSTAPPEN,161,,L1 (Crash),00:55.0,0.02969296
0,137,VERSTAPPEN,165,,L1 (Crash),00:55.0,0.02969296
0,138,VERSTAPPEN,165,,L1 (Crash),00:55.0,0.02969296
0,139,VERSTAPPEN,165,,L1 (Crash),00:55.0,0.02969296
0,140,VERSTAPPEN,170,,L1 (Crash),00:55.0,0.02969296
0,141,VERSTAPPEN,173,,L1 (Crash),00:55.0,0.02969296
0,142,VERSTAPPEN,173,,L1 (Crash),00:55.0,0.02969296
0,143,VERSTAPPEN,176,,L1 (Crash),00:55.0,0.02969296
0,144,VERSTAPPEN,176,,L1 (Crash),00:55.0,0.02969296
0,145,VERSTAPPEN,178,,L1 (Crash),00:55.0,0.02969296
0,146,VERSTAPPEN,178,,L1 (Crash),00:55.0,0.02969296
0,147,VERSTAPPEN,178,,L1 (Crash),00:55.0,0.02969296
0,148,VERSTAPPEN,180,,L1 (Crash),00:55.0,0.02969296
0,149,VERSTAPPEN,180,,L1 (Crash),00:55.0,0.02969296
0,150,VERSTAPPEN,182,,L1 (Crash),00:55.0,0.02969296
0,151,VERSTAPPEN,183,,L1 (Crash),00:55.0,0.02969296
0,152,VERSTAPPEN,185,,L1 (Crash),00:55.0,0.02969296
0,153,VERSTAPPEN,186,,L1 (Crash),00:55.0,0.02969296
0,154,VERSTAPPEN,188,,L1 (Crash),00:55.0,0.02969296
0,155,VERSTAPPEN,188,,L1 (Crash),00:55.0,0.02969296
0,156,VERSTAPPEN,188,,L1 (Crash),00:55.0,0.02969296
0,157,VERSTAPPEN,190,,L1 (Crash),00:55.0,0.02969296
0,158,VERSTAPPEN,190,,L1 (Crash),00:55.0,0.02969296
0,159,VERSTAPPEN,192,,L1 (Crash),00:55.0,0.02969296
0,160,VERSTAPPEN,192,,L1 (Crash),00:55.0,0.02969296
0,161,VERSTAPPEN,195,,L1 (Crash),00:55.0,0.02969296
0,162,VERSTAPPEN,195,,L1 (Crash),00:55.0,0.02969296
0,163,VERSTAPPEN,197,,L1 (Crash),00:55.0,0.02969296
0,164,VERSTAPPEN,197,,L1 (Crash),00:55.0,0.02969296
0,165,VERSTAPPEN,197,,L1 (Crash),00:55.0,0.02969296
0,166,VERSTAPPEN,199,,L1 (Crash),00:55.0,0.02969296
0,167,VERSTAPPEN,200,,L1 (Crash),00:55.0,0.02969296
0,168,VERSTAPPEN,200,,L1 (Crash),00:55.0,0.02969296
